Station,Line
Acton Town,District
Aldgate,Metropolitan
Aldgate East,Hammersmith & City
Alperton,Piccadilly
Amersham,Metropolitan
Angel,Northern
Archway,Northern
Arnos Grove,Piccadilly
Arsenal,Piccadilly
Baker Street,Metropolitan
Balham,Northern
Bank,Waterloo & City
Barbican,Metropolitan
Barking,District
Barkingside,Central
Barons Court,District
Bayswater,District
Becontree,District
Belsize Park,Northern
Bermondsey,Jubilee
Bethnal Green,Central
Blackfriars,District
Blackhorse Road,Victoria
Bond Street,Central
Borough,Northern
Boston Manor,Piccadilly
Bounds Green,Piccadilly
Bow Road,District
Brent Cross,Northern
Brixton,Victoria
Bromley-by-Bow,District
Buckhurst Hill,Central
Burnt Oak,Northern
Caledonian Road,Piccadilly
Camden Town,Northern
Canada Water,Jubilee
Canary Wharf,Jubilee
Canning Town,Jubilee
Cannon Street,District
Canons Park,Jubilee
Chalfont & Latimer,Metropolitan
Chalk Farm,Northern
Chancery Lane,Central
Charing Cross,Bakerloo
Chesham,Metropolitan
Chigwell,Central
Chiswick Park,District
Chorleywood,Metropolitan
Clapham Common,Northern
Clapham North,Northern
Clapham South,Northern
Cockfosters,Piccadilly
Colindale,Northern
Colliers Wood,Northern
Covent Garden,Piccadilly
Croxley,Metropolitan
Dagenham East,District
Dagenham Heathway,District
Debden,Central
Dollis Hill,Jubilee
Ealing Broadway,District
Ealing Common,District
Earl's Court,District
East Acton,Central
East Finchley,Northern
East Ham,District
East Putney,District
Eastcote,Metropolitan
Edgware,Northern
Edgware Road,Bakerloo
Edgware Road,Hammersmith & City
Elephant & Castle,Northern
Elm Park,District
Embankment,District
Epping,Central
Euston,Northern
Euston Square,Metropolitan
Fairlop,Central
Farringdon,Metropolitan
Finchley Central,Northern
Finchley Road,Metropolitan
Finsbury Park,Piccadilly
Fulham Broadway,District
Gants Hill,Central
Gloucester Road,District
Golders Green,Northern
Goldhawk Road,Hammersmith & City
Goodge Street,Northern
Grange Hill,Central
Great Portland Street,Metropolitan
Green Park,Piccadilly
Greenford,Central
Gunnersbury,District
Hainault,Central
Hammersmith,District
Hammersmith,Hammersmith & City
Hampstead,Northern
Hanger Lane,Central
Harlesden,Bakerloo
Harrow & Wealdstone,Bakerloo
Harrow-on-the-Hill,Metropolitan
Hatton Cross,Piccadilly
Heathrow Terminal 4,Piccadilly
Heathrow Terminal 5,Piccadilly
"Heathrow Terminals 1, 2, 3",Piccadilly
Hendon Central,Northern
High Barnet,Northern
High Street Kensington,District
Highbury & Islington,Victoria
Highgate,Northern
Hillingdon,Metropolitan
Holborn,Central
Holland Park,Central
Holloway Road,Piccadilly
Hornchurch,District
Hounslow Central,Piccadilly
Hounslow East,Piccadilly
Hounslow West,Piccadilly
Hyde Park Corner,Piccadilly
Ickenham,Metropolitan
Kennington,Northern
Kensal Green,Bakerloo
Kensington (Olympia),District
Kentish Town,Northern
Kenton,Bakerloo
Kew Gardens,District
Kilburn,Jubilee
Kilburn Park,Bakerloo
King's Cross St. Pancras,Metropolitan
Kingsbury,Jubilee
Knightsbridge,Piccadilly
Ladbroke Grove,Hammersmith & City
Lambeth North,Bakerloo
Lancaster Gate,Central
Latimer Road,Hammersmith & City
Leicester Square,Piccadilly
Leyton,Central
Leytonstone,Central
Liverpool Street,Metropolitan
London Bridge,Northern
Loughton,Central
Maida Vale,Bakerloo
Manor House,Piccadilly
Mansion House,District
Marble Arch,Central
Marylebone,Bakerloo
Mile End,District
Mill Hill East,Northern
Monument,District
Moor Park,Metropolitan
Moorgate,Metropolitan
Morden,Northern
Mornington Crescent,Northern
Neasden,Jubilee
Newbury Park,Central
North Acton,Central
North Ealing,Piccadilly
North Greenwich,Jubilee
North Harrow,Metropolitan
North Wembley,Bakerloo
Northfields,Piccadilly
Northolt,Central
Northwick Park,Metropolitan
Northwood,Metropolitan
Northwood Hills,Metropolitan
Notting Hill Gate,District
Oakwood,Piccadilly
Old Street,Northern
Osterley,Piccadilly
Oval,Northern
Oxford Circus,Central
Paddington,Hammersmith & City
Park Royal,Piccadilly
Parsons Green,District
Perivale,Central
Piccadilly Circus,Bakerloo
Pimlico,Victoria
Pinner,Metropolitan
Plaistow,District
Preston Road,Metropolitan
Putney Bridge,District
Queen's Park,Bakerloo
Queensbury,Jubilee
Queensway,Central
Ravenscourt Park,District
Rayners Lane,Metropolitan
Redbridge,Central
Regent's Park,Bakerloo
Richmond,District
Rickmansworth,Metropolitan
Roding Valley,Central
Royal Oak,Hammersmith & City
Ruislip,Metropolitan
Ruislip Gardens,Central
Ruislip Manor,Metropolitan
Russell Square,Piccadilly
Seven Sisters,Victoria
Shepherd's Bush,Central
Shepherd's Bush Market,Hammersmith & City
Sloane Square,District
Snaresbrook,Central
South Ealing,Piccadilly
South Harrow,Piccadilly
South Kensington,District
South Kenton,Bakerloo
South Ruislip,Central
South Wimbledon,Northern
South Woodford,Central
Southfields,District
Southgate,Piccadilly
Southwark,Jubilee
St. James's Park,District
St. John's Wood,Jubilee
St. Paul's,Central
Stamford Brook,District
Stanmore,Jubilee
Stepney Green,District
Stockwell,Northern
Stonebridge Park,Bakerloo
Stratford,Central
Sudbury Hill,Piccadilly
Sudbury Town,Piccadilly
Swiss Cottage,Jubilee
Temple,District
Theydon Bois,Central
Tooting Bec,Northern
Tooting Broadway,Northern
Tottenham Court Road,Central
Tottenham Hale,Victoria
Totteridge & Whetstone,Northern
Tower Hill,District
Tufnell Park,Northern
Turnham Green,District
Turnpike Lane,Piccadilly
Upminster,District
Upminster Bridge,District
Upney,District
Upton Park,District
Uxbridge,Metropolitan
Vauxhall,Victoria
Victoria,District
Walthamstow Central,Victoria
Wanstead,Central
Warren Street,Northern
Warwick Avenue,Bakerloo
Waterloo,Waterloo & City
Watford,Metropolitan
Wembley Central,Bakerloo
Wembley Park,Metropolitan
West Acton,Central
West Brompton,District
West Finchley,Northern
West Ham,District
West Hampstead,Jubilee
West Harrow,Metropolitan
West Kensington,District
West Ruislip,Central
Westbourne Park,Hammersmith & City
Westminster,District
White City,Central
Whitechapel,District
Willesden Green,Jubilee
Willesden Junction,Bakerloo
Wimbledon,District
Wimbledon Park,District
Wood Green,Piccadilly
Wood Lane,Hammersmith & City
Woodford,Central
Woodside Park,Northern
